time,query,response,response_time,correct
2026-03-15 15:57:00.728536,how many got placed in tcs,6 students placed in Tcs.,0.01393580436706543,1
2026-03-15 15:57:11.931305,how many got placed in accenture,18 students placed in Accenture.,0.007196187973022461,1
2026-03-15 15:57:25.564096,how many got placed in cognizant,25 students placed in Cognizant.,0.01230478286743164,1
2026-03-15 15:57:32.153075,hiring process of tcs,"TCS Hiring Process:
1. NQT Exam
2. Technical Interview
3. Managerial Interview
4. HR Round",0.0018520355224609375,1
2026-03-15 15:57:37.807006,resume tips,"Professional Resume Tips:

• Keep resume to 1–2 pages  
• Use clear headings and bullet points  
• Add technical skills section  
• Mention projects with outcomes  
• Quantify achievements  
• Avoid grammatical errors  
• Use simple fonts  
• Tailor resume for job role  
• Add GitHub / LinkedIn links  
• Avoid unnecessary personal details  

Recommended Sections:
✔ Career Objective  
✔ Technical Skills  
✔ Projects  
✔ Internships  
✔ Certifications  
✔ Education  

📄 **Professional Resume Tips**

✔ Keep resume to **1–2 pages**
✔ Use **clear headings and bullet points**
✔ Add **technical skills section**
✔ Mention **projects with outcomes**
✔ Quantify achievements
✔ Avoid grammatical errors
✔ Use simple fonts
✔ Tailor resume for job role
✔ Add **GitHub / LinkedIn links**

📌 **Recommended Resume Sections**

• Career Objective  
• Technical Skills  
• Projects  
• Internships  
• Certifications  
• Education  

---

🌐 **Useful Resume Resources**

1️⃣ GeeksforGeeks Resume Guide  
https://www.geeksforgeeks.org/how-to-build-a-resume/

2️⃣ Harvard Resume Template  
https://hwpi.harvard.edu/files/ocs/files/hes-resume-cover-letter-guide.pdf

3️⃣ Resume Worded Tips  
https://resumeworded.com/resume-tips

4️⃣ LinkedIn Resume Writing Guide  
https://www.linkedin.com/pulse/how-write-good-resume-freshers/

5️⃣ Overleaf Professional Resume Templates  
https://www.overleaf.com/gallery/tagged/cv

---

🎥 **Resume Building Tutorials**

• https://youtu.be/Tt08KmFfIYQ  
• https://youtu.be/u75hUSShvnc

---

💡 **Extra Tip**

Good resumes usually contain:

• 2–3 strong projects  
• GitHub profile  
• Internship experience  
• Certifications  

A strong resume greatly increases **placement chances 🚀**
",0.0015463829040527344,1
2026-03-15 15:57:41.308302,interview tips,"Interview Preparation Guide:

Technical:
• Revise core subjects (DSA, OOPS, DBMS, OS)
• Practice coding problems
• Explain projects confidently

HR Round:
• Tell me about yourself
• Strengths & weaknesses
• Why should we hire you?
• Career goals

Behavioral:
• Teamwork examples
• Leadership situations
• Problem solving

Before Interview:
✔ Research company  
✔ Practice mock interviews  
✔ Prepare resume explanation  
✔ Dress professionally  
✔ Be confident  

Daily Preparation:
• 2 hrs coding
• 1 hr aptitude
• 1 hr revision
• 30 mins communication

🎤 **Interview Preparation Guide for Freshers**

------------------------------

📌 **Common Interview Questions**

1. Tell me about yourself  
2. Why should we hire you?  
3. What are your strengths and weaknesses?  
4. Explain your final year project  
5. Where do you see yourself in 5 years?  
6. Describe a challenging situation you solved  
7. Why do you want to work in our company?

------------------------------

💻 **Technical Interview Preparation**

Practice these topics:

✔ Data Structures & Algorithms  
✔ OOPS Concepts  
✔ DBMS  
✔ Operating Systems  
✔ SQL  
✔ System Design Basics  

Practice coding on:

• https://leetcode.com  
• https://www.hackerrank.com  
• https://www.geeksforgeeks.org  
• https://www.codechef.com  

------------------------------

🤖 **Free AI Mock Interview Platforms**

1️⃣ Google Interview Warmup  
https://grow.google/certificates/interview-warmup/

2️⃣ Final Round AI (Free trial)  
https://www.finalroundai.com

3️⃣ Interviewing.io  
https://interviewing.io

4️⃣ Pramp (Free Mock Interviews)  
https://www.pramp.com

5️⃣ MyInterviewPractice  
https://myinterviewpractice.com

------------------------------

📄 **Interview Preparation PDFs**

1️⃣ HR Interview Questions PDF  
https://www.geeksforgeeks.org/common-hr-interview-questions/

2️⃣ Technical Interview Guide  
https://www.tutorialspoint.com/interview_questions/index.htm

3️⃣ Placement Interview Questions PDF  
https://www.javatpoint.com/interview-questions

4️⃣ Top 100 Coding Interview Questions  
https://www.geeksforgeeks.org/top-100-data-structure-and-algorithms-dsa-interview-questions/

------------------------------

🎥 **Best YouTube Interview Preparation**

1️⃣ Tech Interview Preparation  
https://youtu.be/1mHjMNZZvFo

2️⃣ HR Interview Questions  
https://youtu.be/9FgfsLa_SmY

3️⃣ Google Interview Tips  
https://youtu.be/kayOhGRcNt4

------------------------------

📅 **Daily Interview Preparation Plan**

Day Plan:

• 2 hrs Coding Practice  
• 1 hr Core Subjects (DBMS/OS/OOPS)  
• 30 mins HR Questions  
• 30 mins Mock Interview  

------------------------------

💡 **Pro Tips**

✔ Know your resume completely  
✔ Explain your projects clearly  
✔ Practice speaking confidently  
✔ Research the company before interview  
✔ Always ask a question to interviewer

Good preparation leads to **great placements 🚀**
",0.004663944244384766
2026-03-15 15:57:46.804252,what to learn in java,"Java Topics:
• Core Java
• OOPS Concepts
• Collections Framework
• Multithreading
• Exception Handling
• JDBC
• Mini Projects",0.0021398067474365234,1
2026-05-08 21:01:50.706039,hi,Hello 👋 I am your Placement Assistant. How may I help you?,0.009176969528198242
2026-05-08 21:02:01.268343,what to learn in python,"Python Topics:
• Basics & Syntax
• OOPS Concepts
• Lists, Tuples, Sets, Dictionaries
• File Handling
• Exception Handling
• Pandas & NumPy
• APIs & Requests
• Mini Projects
• Real Time Projects
• Interview Questions",0.0006244182586669922
2026-05-08 21:02:07.568516,what to learn in java,"Java Topics:
• Core Java
• OOPS Concepts
• Collections Framework
• Multithreading
• Exception Handling
• JDBC
• Mini Projects",0.001058816909790039
2026-05-08 21:02:14.403212,what to learn in oops,"OOPS Concepts:
• Class & Object
• Encapsulation
• Inheritance
• Polymorphism
• Abstraction
• Interfaces
• Method Overloading & Overriding",0.0034580230712890625
2026-05-08 21:02:27.156960,hiring process of tcs,"TCS Hiring Process:
1. NQT Exam
2. Technical Interview
3. Managerial Interview
4. HR Round",0.007304191589355469
2026-05-08 21:02:38.491342,hiring process of cognizant,"Cognizant Hiring Process:
1. Aptitude Test
2. Technical Interview
3. HR Interview",0.0009546279907226562
2026-05-08 21:02:50.458083,hiring process of accenture,"Accenture Hiring Process:
1. Cognitive Test
2. Coding Round
3. Communication Round
4. HR Discussion",0.005902528762817383
2026-05-08 21:02:56.502058,resume tips,"Professional Resume Tips:

• Keep resume to 1–2 pages  
• Use clear headings and bullet points  
• Add technical skills section  
• Mention projects with outcomes  
• Quantify achievements  
• Avoid grammatical errors  
• Use simple fonts  
• Tailor resume for job role  
• Add GitHub / LinkedIn links  
• Avoid unnecessary personal details  

Recommended Sections:
✔ Career Objective  
✔ Technical Skills  
✔ Projects  
✔ Internships  
✔ Certifications  
✔ Education  

📄 **Professional Resume Tips**

✔ Keep resume to **1–2 pages**
✔ Use **clear headings and bullet points**
✔ Add **technical skills section**
✔ Mention **projects with outcomes**
✔ Quantify achievements
✔ Avoid grammatical errors
✔ Use simple fonts
✔ Tailor resume for job role
✔ Add **GitHub / LinkedIn links**

📌 **Recommended Resume Sections**

• Career Objective  
• Technical Skills  
• Projects  
• Internships  
• Certifications  
• Education  

---

🌐 **Useful Resume Resources**

1️⃣ GeeksforGeeks Resume Guide  
https://www.geeksforgeeks.org/how-to-build-a-resume/

2️⃣ Harvard Resume Template  
https://hwpi.harvard.edu/files/ocs/files/hes-resume-cover-letter-guide.pdf

3️⃣ Resume Worded Tips  
https://resumeworded.com/resume-tips

4️⃣ LinkedIn Resume Writing Guide  
https://www.linkedin.com/pulse/how-write-good-resume-freshers/

5️⃣ Overleaf Professional Resume Templates  
https://www.overleaf.com/gallery/tagged/cv

---

🎥 **Resume Building Tutorials**

• https://youtu.be/Tt08KmFfIYQ  
• https://youtu.be/u75hUSShvnc

---

💡 **Extra Tip**

Good resumes usually contain:

• 2–3 strong projects  
• GitHub profile  
• Internship experience  
• Certifications  

A strong resume greatly increases **placement chances 🚀**
",0.00125885009765625
2026-05-08 21:03:03.977624,interview tips for freshers,"Interview Preparation Guide:

Technical:
• Revise core subjects (DSA, OOPS, DBMS, OS)
• Practice coding problems
• Explain projects confidently

HR Round:
• Tell me about yourself
• Strengths & weaknesses
• Why should we hire you?
• Career goals

Behavioral:
• Teamwork examples
• Leadership situations
• Problem solving

Before Interview:
✔ Research company  
✔ Practice mock interviews  
✔ Prepare resume explanation  
✔ Dress professionally  
✔ Be confident  

Daily Preparation:
• 2 hrs coding
• 1 hr aptitude
• 1 hr revision
• 30 mins communication

🎤 **Interview Preparation Guide for Freshers**

------------------------------

📌 **Common Interview Questions**

1. Tell me about yourself  
2. Why should we hire you?  
3. What are your strengths and weaknesses?  
4. Explain your final year project  
5. Where do you see yourself in 5 years?  
6. Describe a challenging situation you solved  
7. Why do you want to work in our company?

------------------------------

💻 **Technical Interview Preparation**

Practice these topics:

✔ Data Structures & Algorithms  
✔ OOPS Concepts  
✔ DBMS  
✔ Operating Systems  
✔ SQL  
✔ System Design Basics  

Practice coding on:

• https://leetcode.com  
• https://www.hackerrank.com  
• https://www.geeksforgeeks.org  
• https://www.codechef.com  

------------------------------

🤖 **Free AI Mock Interview Platforms**

1️⃣ Google Interview Warmup  
https://grow.google/certificates/interview-warmup/

2️⃣ Final Round AI (Free trial)  
https://www.finalroundai.com

3️⃣ Interviewing.io  
https://interviewing.io

4️⃣ Pramp (Free Mock Interviews)  
https://www.pramp.com

5️⃣ MyInterviewPractice  
https://myinterviewpractice.com

------------------------------

📄 **Interview Preparation PDFs**

1️⃣ HR Interview Questions PDF  
https://www.geeksforgeeks.org/common-hr-interview-questions/

2️⃣ Technical Interview Guide  
https://www.tutorialspoint.com/interview_questions/index.htm

3️⃣ Placement Interview Questions PDF  
https://www.javatpoint.com/interview-questions

4️⃣ Top 100 Coding Interview Questions  
